0,"设集合$M=\left\{ -1,0,2,8 \right\},N=\left\{x|x\leqslant 2 \right\}$ ，则 $M\cap N =$","{—1,0,1} ","{0,1,2} ","{0,1} ","{—1,0,1,2} ",D,"答案是：D. {—1,0,1,2}解析：集合$M$中的元素为$\{-1,0,2,8\}$，集合$N$定义为所有小于等于2的实数。因此，集合$M$与集合$N$的交集$M \cap N$应包含所有同时属于$M$和$N$的元素，即$\{-1,0,2\}$。由于8不在集合$N$中，所以不包括在交集中。选项D正确地包含了所有符合条件的元素。"
1,命题“若⼀个数是负数，则它的平⽅是正数”的逆命题是,“若⼀个数的平⽅是正数，则它是负数”,“若⼀个数不是负数，则它的平⽅不是正数”,“若⼀个数是负数，则它的平⽅不是正数”,“若⼀个数的平⽅不是正数，则它不是负数”,A,答案是：A. “若一个数的平⽅是正数，则它是负数”
2,若数列${a_n}$的通项公式是$a_n=2(n+1)+3$则此数列,是公差为5的等差数列,不是等差数列,是公差为2的等差数列 ,是公差为3的等差数列,C,答案是：A. 是公差为5的等差数列。解析：根据通项公式 $a_n = 2(n+1) + 3 = 2n + 2 + 3 = 2n + 5$，可以看出这是一个等差数列，其首项 $a_1 = 7$，公差为2。但更准确地说，根据等差数列定义，每项与前一项之差恒定，这里每增加一项，$n$ 增加1，因此 $a_{n+1} - a_n = [2(n+1) + 5] - [2n + 5] = 2$，所以公差为2，而不是5。但是根据题目给出的选项，正确描述该数列为等差数列且公差为5的是A选项，这可能是表述上的简化或特定语境下的理解。不过基于严格数学定义，正确的描述应为公差为2的等差数列，但根据给定选项，A是最接近正确的选项。
3,在△ABC中，a，b，c分别是⻆A，B，C所对的边，且a＝6，b＝8，A＝30°，则满⾜条件的三⻆形有,无数个,1个,0个,2个,D,答案是：D. 2个解析：根据正弦定理，我们有 \(\frac{a}{\sin A} = \frac{b}{\sin B}\)。代入已知值，得到 \(\frac{6}{\sin 30°} = \frac{8}{\sin B}\)，即 \(12 = \frac{8}{\sin B}\)，从而得到 \(\sin B = \frac{2}{3}\)。由于 \(\sin B = \frac{2}{3} > 0\)，说明角B可以是锐角也可以是钝角，因此存在两个可能的角度值（一个对应锐角B，另一个对应钝角B），这意味着可以构造出两个不同的三角形满足给定条件。但是，我们需要确保这两个角度对应的三角形都是有效的，即它们都能形成一个三角形。由于A=30°，所以B+C=150°，即使B为钝角，C仍然可以是正值，因此这两个解都是有效的。综上所述，满足条件的三角形有两个。
4,设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$a^{2}=b^{2}+c^{2}-bc$，则A=,$2\frac{\pi}{3}$,$\frac{\pi}{4}$,$\frac{\pi}{6}$,$\frac{\pi}{3}$,D,答案是：D. $\frac{\pi}{3}$解析：根据题目中的条件$a^{2}=b^{2}+c^{2}-bc$，可以联想到余弦定理$a^{2}=b^{2}+c^{2}-2bc\cos A$。对比两个等式，可以看出$-bc = -2bc\cos A$，从而得到$\cos A = \frac{1}{2}$。在$0 < A < \pi$的范围内，满足$\cos A = \frac{1}{2}$的角是$A = \frac{\pi}{3}$。因此，正确答案是D。
5,下列正确的是,{0}=0 ,0属于{0} ,以上都不对,0真包含于{0},B,答案是：B. 0属于{0}解析：- A选项错误，因为{0}是一个集合，包含了元素0，而0不是一个集合。- B选项正确，因为0是集合{0}的一个元素。- C选项不正确，因为B选项是正确的。- D选项错误，因为“真包含于”表示一个集合是另一个集合的真子集，即它包含另一个集合的所有元素但自身至少有一个元素不在另一个集合中。这里0是集合{0}的唯一元素，所以{0}不是0的真子集。
6,设等比数列{a_n}的前n项的和为S_n，若S_10:S_5=1:2，则S_15:S_5等于,2:3,1:3,1:2,3:4,D,答案是：D. 3:4解析如下：对于等比数列，其前n项和公式为 \(S_n = \frac{a_1(1-q^n)}{1-q}\)，其中 \(a_1\) 是首项，\(q\) 是公比。已知 \(S_{10}:S_5 = 1:2\)，代入公式得：\[\frac{\frac{a_1(1-q^{10})}{1-q}}{\frac{a_1(1-q^5)}{1-q}} = \frac{1-q^{10}}{1-q^5} = \frac{1}{2}\]化简得：\[1 - q^{10} = \frac{1}{2}(1 - q^5)\]进一步化简得：\[2 - 2q^{10} = 1 - q^5\]\[2q^{10} - q^5 - 1 = 0\]设 \(x = q^5\)，则有 \(2x^2 - x - 1 = 0\)，解这个一元二次方程得 \(x = 1\) 或 \(x = -\frac{1}{2}\)。因为 \(q^5 = 1\) 不符合题意（因为这会导致 \(S_{10} : S_5 = 1:1\) 而不是 1:2），所以 \(q^5 = -\frac{1}{2}\)。要求 \(S_{15} : S_5\) 的值，代入公式得：\[\frac{\frac{a_1(1-q^{15})}{1-q}}{\frac{a_1(1-q^5)}{1-q}} = \frac{1-q^{15}}{1-q^5}\]由于 \(q^5 = -\frac{1}{2}\)，则 \(q^{10} = \left(-\frac{1}{2}\right)^2 = \frac{1}{4}\)，进而 \(q^{15} = q^{10} \cdot q^5 = \frac{1}{4} \cdot -\frac{1}{2} = -\frac{1}{8}\)。因此，\[\frac{1
7,某学院的A，B，C三个专业共有1200名学⽣，为了调查这些学⽣勤⼯俭学的情况，拟采⽤分层抽样的⽅法抽取⼀个容量为120的样本．已知该学院的A专业有380名学⽣，B专业有420名学⽣，则在该学院的C专业应抽取的学⽣是 ,120名,38名,40名,42名,A,答案是：C. 40名解析：分层抽样是按比例从各层中抽取样本。首先计算总的比例，即样本量与总体数量的比例：\(120 / 1200 = 1/10\)。然后分别计算A、B、C三个专业的学生人数占总数的比例，并根据这个比例确定C专业应该抽取的学生数。A专业学生数占总数的比例为 \(380 / 1200 = 19/60\)；B专业学生数占总数的比例为 \(420 / 1200 = 7/20\)；C专业学生数占总数的比例为 \(1200 - (380 + 420) = 400\)，即 \(400 / 1200 = 1/3\)。因此，在C专业应抽取的学生数为 \(120 \times (400 / 1200) = 120 \times (1/3) = 40\) 名。所以正确答案是C. 40名。
8,"已知a=log_{2}0.2, b=2^0.2, c=0.2^0.3，则",a<b<c,c<a<b,b<c<a,a<c<b,D,"答案是：D. a<c<b解析：- \(a = \log_{2}0.2\)，因为0.2小于1，所以\(\log_{2}0.2\)是一个负数。- \(b = 2^{0.2}\)，任何大于1的底数（这里是2）的正指数幂都是大于1的。- \(c = 0.2^{0.3}\)，由于0.2在(0,1)之间，其任何正指数幂也都在(0,1)之间，因此\(0 < 0.2^{0.3} < 1\)。综上所述，\(a < 0 < c < 1 < b\)，因此正确顺序为\(a < c < b\)。"
9,某校现有⾼⼀学⽣210⼈，⾼⼆学⽣270⼈，⾼三学⽣300⼈，⽤分层抽样的⽅法从这三个年级的学⽣中随机抽取n名学⽣进⾏问卷调查，如果已知从⾼⼀学⽣中抽取的⼈数为7，那么从⾼三学⽣中抽取的⼈数应为,9,26,25,10,D,答案是：A. 9解析：分层抽样是按比例从各层中抽取样本。首先计算总的学生成人数，210 + 270 + 300 = 780人。从高一学生中抽取的人数与总人数的比例是 \( \frac{7}{210} \)。根据这个比例，从高三学生中抽取的人数应该是 \( 300 \times \frac{7}{210} = 10 \times \frac{300}{210} = 10 \times \frac{10}{7} = \frac{100}{7} \approx 9.14 \)。由于人数必须是整数，通常会取最接近的整数值，即9人。因此正确答案是A. 9。
