主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,160,91.43
legal_and_moral_basis,214,208,97.2
professional_law,211,160,75.83
elementary_commonsense,198,157,79.29
conceptual_physics,147,130,88.44
anatomy,148,132,89.19
human_sexuality,126,93,73.81
high_school_politics,143,126,88.11
high_school_mathematics,164,95,57.93
professional_medicine,376,302,80.32
philosophy,105,81,77.14
management,210,184,87.62
astronomy,165,87,52.73
public_relations,174,134,77.01
electrical_engineering,172,145,84.3
business_ethics,209,152,72.73
high_school_geography,118,102,86.44
construction_project_management,139,109,78.42
high_school_biology,169,149,88.17
chinese_teacher_qualification,179,165,92.18
security_study,135,121,89.63
genetics,176,117,66.48
international_law,185,141,76.22
economics,159,133,83.65
world_religions,160,130,81.25
college_mathematics,105,49,46.67
college_education,107,94,87.85
global_facts,149,120,80.54
college_medical_statistics,106,82,77.36
machine_learning,122,99,81.15
logical,123,98,79.67
marketing,180,162,90.0
high_school_chemistry,132,110,83.33
clinical_knowledge,237,195,82.28
college_law,108,84,77.78
college_actuarial_science,106,46,43.4
food_science,143,104,72.73
arts,160,151,94.38
college_engineering_hydrology,106,86,81.13
elementary_information_and_technology,238,225,94.54
journalism,172,136,79.07
high_school_physics,110,85,77.27
chinese_foreign_policy,107,86,80.37
elementary_mathematics,230,145,63.04
world_history,161,141,87.58
sports_science,165,126,76.36
virology,169,144,85.21
education,163,125,76.69
chinese_driving_rule,131,129,98.47
nutrition,145,118,81.38
professional_psychology,232,199,85.78
college_medicine,273,243,89.01
marxist_theory,189,183,96.83
jurisprudence,411,361,87.83
sociology,226,178,78.76
agronomy,169,120,71.01
computer_security,171,159,92.98
computer_science,204,178,87.25
