主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,162,92.57
legal_and_moral_basis,214,209,97.66
professional_law,211,168,79.62
elementary_commonsense,198,162,81.82
conceptual_physics,147,136,92.52
anatomy,148,133,89.86
human_sexuality,126,94,74.6
high_school_politics,143,125,87.41
high_school_mathematics,164,99,60.37
professional_medicine,376,307,81.65
philosophy,105,91,86.67
management,210,183,87.14
astronomy,165,88,53.33
public_relations,174,133,76.44
electrical_engineering,172,149,86.63
business_ethics,209,156,74.64
high_school_geography,118,101,85.59
construction_project_management,139,104,74.82
high_school_biology,169,153,90.53
chinese_teacher_qualification,179,165,92.18
security_study,135,125,92.59
genetics,176,122,69.32
international_law,185,146,78.92
economics,159,137,86.16
world_religions,160,132,82.5
college_mathematics,105,54,51.43
college_education,107,95,88.79
global_facts,149,124,83.22
college_medical_statistics,106,83,78.3
machine_learning,122,100,81.97
logical,123,103,83.74
marketing,180,164,91.11
high_school_chemistry,132,110,83.33
clinical_knowledge,237,197,83.12
college_law,108,85,78.7
college_actuarial_science,106,52,49.06
food_science,143,109,76.22
arts,160,151,94.38
college_engineering_hydrology,106,90,84.91
elementary_information_and_technology,238,222,93.28
journalism,172,135,78.49
high_school_physics,110,87,79.09
chinese_foreign_policy,107,91,85.05
elementary_mathematics,230,160,69.57
world_history,161,144,89.44
sports_science,165,126,76.36
virology,169,149,88.17
education,163,131,80.37
chinese_driving_rule,131,130,99.24
nutrition,145,119,82.07
professional_psychology,232,209,90.09
college_medicine,273,247,90.48
marxist_theory,189,182,96.3
jurisprudence,411,367,89.29
sociology,226,190,84.07
agronomy,169,126,74.56
computer_security,171,161,94.15
computer_science,204,183,89.71
