主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,160,91.43
legal_and_moral_basis,214,209,97.66
professional_law,211,160,75.83
elementary_commonsense,198,153,77.27
conceptual_physics,147,128,87.07
anatomy,148,132,89.19
human_sexuality,126,88,69.84
high_school_politics,143,126,88.11
high_school_mathematics,164,92,56.1
professional_medicine,376,306,81.38
philosophy,105,79,75.24
management,210,186,88.57
astronomy,165,78,47.27
public_relations,174,126,72.41
electrical_engineering,172,143,83.14
business_ethics,209,146,69.86
high_school_geography,118,95,80.51
construction_project_management,139,105,75.54
high_school_biology,169,145,85.8
chinese_teacher_qualification,179,161,89.94
security_study,135,117,86.67
genetics,176,113,64.2
international_law,185,134,72.43
economics,159,134,84.28
world_religions,160,135,84.38
college_mathematics,105,52,49.52
college_education,107,95,88.79
global_facts,149,120,80.54
college_medical_statistics,106,79,74.53
machine_learning,122,98,80.33
logical,123,96,78.05
marketing,180,155,86.11
high_school_chemistry,132,100,75.76
clinical_knowledge,237,195,82.28
college_law,108,81,75.0
college_actuarial_science,106,50,47.17
food_science,143,104,72.73
arts,160,152,95.0
college_engineering_hydrology,106,86,81.13
elementary_information_and_technology,238,225,94.54
journalism,172,136,79.07
high_school_physics,110,81,73.64
chinese_foreign_policy,107,82,76.64
elementary_mathematics,230,146,63.48
world_history,161,139,86.34
sports_science,165,122,73.94
virology,169,142,84.02
education,163,126,77.3
chinese_driving_rule,131,128,97.71
nutrition,145,118,81.38
professional_psychology,232,202,87.07
college_medicine,273,232,84.98
marxist_theory,189,181,95.77
jurisprudence,411,351,85.4
sociology,226,180,79.65
agronomy,169,122,72.19
computer_security,171,157,91.81
computer_science,204,177,86.76
